record_id,plant,line_id,machine_id,shift,operator_experience_years,material_batch,ambient_temp_c,ambient_humidity_pct,vibration_rms,pressure_bar,feed_rate_mm_s,laser_power_w,coolant_flow_l_min,thickness_mm,tensile_strength_mpa,surface_roughness_um,defect_flag,defect_type,rework_needed
33,Plant_B,L1,M15,evening,0.53,B031,22.22,41.2,1.037,5.298,18.02,315.5,5.2,1.091,504.5,2.67,0,none,0
34,Plant_B,L3,M19,day,7.47,B109,17.21,51.3,1.061,5.465,18.3,372.0,7.02,1.158,604.54,2.385,0,none,0
35,Plant_A,L1,M12,night,2.95,B134,20.51,40.1,0.686,6.45,23.79,345.8,8.27,1.274,503.99,2.392,0,none,0
36,Plant_A,L4,M18,day,6.7,B139,24.25,17.4,1.126,4.86,16.49,376.6,7.78,1.187,604.52,2.019,0,none,0
37,Plant_C,L3,M14,day,8.22,B143,15.88,57.1,0.646,5.667,23.64,365.4,8.24,1.163,548.24,2.004,0,none,0
38,Plant_B,L3,M01,day,6.3,B092,14.56,54.8,0.841,5.174,20.5,321.5,6.06,1.169,535.49,1.697,0,none,0
39,Plant_B,L1,M18,night,2.9,B144,25.01,43.2,0.824,5.14,17.05,318.4,5.8,1.234,576.22,2.139,0,none,0
40,Plant_A,L4,M19,day,6.23,B088,18.84,48.8,0.685,5.344,33.59,346.4,7.13,1.279,577.05,1.881,0,none,0
41,Plant_C,L3,M01,night,1.35,B064,14.88,52.9,1.298,5.117,23.62,339.9,8.79,1.079,522.95,2.494,0,none,0
42,Plant_A,L2,M09,day,6.1,B034,19.41,40.0,0.92,5.592,21.79,355.9,4.77,1.295,593.13,2.146,0,none,0
43,Plant_B,L1,M01,day,7.83,B006,22.72,55.1,1.587,4.938,10.0,355.7,6.57,1.228,583.33,2.537,0,none,0
44,Plant_C,L3,M17,day,4.77,B099,17.85,46.6,2.139,6.331,15.76,389.7,6.29,1.076,575.06,2.857,0,none,0
45,Plant_A,L2,M15,day,8.47,B051,23.67,62.8,0.971,6.576,11.86,346.6,8.88,1.195,570.8,1.487,0,none,0
46,Plant_C,L1,M06,night,5.34,B035,22.2,39.7,1.397,5.855,30.42,344.5,7.44,1.134,552.25,2.345,0,none,0
47,Plant_C,L1,M09,day,5.15,B045,25.54,67.3,0.62,5.123,19.28,318.3,8.77,1.255,522.57,2.149,0,none,0
48,Plant_B,L3,M05,day,6.72,B086,23.94,53.2,0.76,6.058,25.26,390.6,7.54,1.345,558.03,2.022,0,none,0
49,Plant_B,L3,M16,evening,1.78,B125,28.46,54.8,0.835,4.609,31.34,329.8,6.93,1.023,569.19,2.575,0,none,0
50,Plant_A,L4,M17,day,6.11,B096,14.73,58.9,0.583,4.877,22.44,355.2,8.79,1.195,548.68,2.84,0,none,0
51,Plant_B,L4,M03,evening,8.61,B037,22.03,48.3,1.088,4.235,28.88,367.5,7.6,1.122,608.61,2.236,0,none,0
52,Plant_A,L2,M10,evening,5.7,B038,17.53,48.5,0.947,5.064,22.3,300.4,9.3,1.118,499.53,2.021,0,none,0
53,Plant_A,L1,M13,evening,3.61,B054,25.26,50.5,1.159,6.254,27.73,315.5,8.07,1.181,522.3,2.189,0,none,0
54,Plant_B,L4,M08,evening,3.94,B082,22.81,28.5,1.242,5.29,28.25,343.7,6.39,1.249,527.07,1.732,0,none,0
55,Plant_A,L1,M20,day,3.8,B009,18.19,38.0,1.448,4.802,17.46,368.9,8.23,1.256,552.2,2.518,0,none,0
56,Plant_B,L3,M05,evening,1.25,B038,20.6,35.2,0.949,7.002,10.1,342.2,7.8,1.367,556.52,2.429,0,none,0
57,Plant_C,L2,M19,day,5.14,B119,15.58,52.7,1.389,3.65,20.4,386.1,9.01,1.146,544.22,2.366,0,none,0
58,Plant_A,L1,M07,day,9.46,B045,18.14,25.2,0.66,4.061,19.98,333.0,6.03,1.13,639.91,2.925,0,none,0
59,Plant_A,L2,M12,day,1.14,B086,16.17,61.3,0.805,4.945,24.53,382.6,7.38,1.03,521.13,2.159,0,none,0
60,Plant_A,L2,M12,evening,5.23,B041,20.73,32.8,0.531,5.435,29.86,326.3,8.78,1.21,562.26,1.711,0,none,0
61,Plant_A,L4,M09,evening,1.35,B052,20.55,39.2,0.632,4.478,13.26,352.2,6.47,1.174,505.48,2.289,0,none,0
62,Plant_B,L1,M02,day,0.0,B071,19.5,38.9,1.398,4.447,23.39,321.8,8.07,1.083,438.91,2.754,0,none,0
63,Plant_A,L3,M03,day,11.33,B002,21.76,62.2,1.613,4.128,27.17,415.5,8.04,1.301,585.2,2.491,0,none,0
64,Plant_B,L3,M15,day,2.1,B141,35.0,62.7,0.728,5.547,18.71,270.8,10.81,1.281,481.29,2.122,0,none,0
65,Plant_C,L4,M17,day,7.95,B123,20.15,72.0,0.812,5.612,19.51,348.3,8.75,1.258,541.58,1.723,0,none,0
66,Plant_A,L3,M18,day,3.17,B024,20.74,38.1,0.836,5.651,28.1,348.0,7.52,1.239,566.88,1.879,0,none,0
67,Plant_B,L4,M06,evening,1.87,B109,17.46,76.6,1.387,4.236,26.15,433.6,7.75,1.264,569.28,2.963,0,none,0
68,Plant_B,L1,M07,evening,5.47,B122,28.85,47.6,1.345,4.49,21.85,334.6,7.78,1.127,562.01,2.235,0,none,0
69,Plant_A,L4,M09,evening,2.57,B072,27.68,30.7,1.124,5.544,31.98,336.7,9.06,1.107,510.15,2.419,0,none,0
70,Plant_B,L3,M07,evening,2.83,B030,19.15,58.2,1.664,4.794,19.54,365.4,6.39,1.36,517.69,2.691,0,none,0
71,Plant_A,L2,M15,evening,4.06,B131,24.9,72.8,0.72,5.083,17.06,370.6,6.12,1.075,524.35,2.214,0,none,0
72,Plant_A,L3,M01,evening,6.27,B039,24.27,74.3,1.03,5.824,30.83,392.8,9.51,1.199,596.7,2.94,0,none,0
73,Plant_A,L4,M02,day,10.23,B125,18.36,62.3,0.487,5.528,15.73,327.4,6.36,1.1,563.66,2.402,0,none,0
74,Plant_B,L4,M19,evening,2.67,B020,19.75,54.0,1.025,5.392,22.46,343.3,6.34,1.29,568.0,2.545,0,none,0
75,Plant_A,L3,M19,day,8.85,B047,27.9,70.8,0.767,5.583,12.1,387.6,9.96,1.17,592.4,2.909,0,none,0
76,Plant_A,L2,M05,evening,1.02,B019,25.66,29.6,0.719,4.869,25.77,334.8,8.44,1.241,505.1,1.493,0,none,0
77,Plant_A,L1,M13,evening,7.28,B016,23.45,46.7,0.649,4.293,27.05,376.4,8.9,1.237,562.29,1.494,0,none,0
78,Plant_B,L3,M10,day,0.0,B022,20.26,53.9,0.822,6.278,16.74,346.2,8.25,1.181,516.98,1.799,0,none,0
79,Plant_B,L3,M08,evening,10.01,B096,25.72,23.3,0.979,5.558,26.95,372.3,7.82,1.214,621.82,1.613,0,none,0
80,Plant_C,L2,M09,day,2.9,B142,15.04,63.1,1.389,5.453,16.55,322.5,6.91,1.336,515.33,2.981,0,none,0
81,Plant_B,L4,M10,day,4.76,B031,20.5,66.0,0.504,5.196,21.46,410.7,7.45,1.22,539.95,2.481,0,none,0
82,Plant_A,L3,M06,evening,7.44,B035,27.46,36.0,0.673,5.164,24.54,382.8,6.7,1.342,601.75,1.589,0,none,0
83,Plant_B,L1,M06,day,9.75,B150,27.07,46.2,0.603,4.488,32.42,414.8,6.59,1.207,564.0,2.082,0,none,0
84,Plant_B,L1,M09,day,5.62,B111,20.64,37.9,0.746,5.582,24.7,399.2,5.97,1.094,592.85,2.469,0,none,0
85,Plant_C,L1,M04,evening,4.29,B072,24.89,33.0,1.007,4.915,21.93,309.2,6.62,1.087,516.58,1.656,0,none,0
86,Plant_A,L3,M06,night,4.09,B036,17.45,35.8,0.97,6.044,23.95,432.3,9.23,1.196,582.7,2.198,0,none,0
87,Plant_A,L1,M06,night,16.28,B025,19.0,41.6,1.578,5.434,19.94,291.5,8.86,1.052,590.69,1.893,0,none,0
88,Plant_C,L2,M20,night,10.09,B030,26.76,52.1,1.47,5.596,31.05,382.6,6.75,1.184,489.43,2.581,0,none,0
89,Plant_A,L3,M13,evening,5.07,B059,19.43,59.9,1.052,6.635,21.19,351.4,7.55,1.157,546.12,2.502,0,none,0
90,Plant_B,L4,M12,day,1.48,B118,20.27,54.9,1.089,5.582,15.11,407.1,7.64,1.228,562.27,2.275,0,none,0
91,Plant_B,L1,M14,evening,7.5,B128,15.11,65.6,0.778,5.936,31.42,367.2,10.12,1.145,525.31,1.768,0,none,0
92,Plant_A,L4,M12,day,2.69,B143,32.04,43.6,0.852,5.705,25.73,316.9,7.61,1.178,503.08,2.394,0,none,0
93,Plant_B,L2,M15,evening,6.85,B056,18.16,54.6,1.651,5.312,22.51,360.0,8.27,1.272,589.16,2.396,0,none,0
94,Plant_C,L2,M02,evening,3.66,B030,22.46,65.8,0.767,4.625,23.53,393.7,8.74,1.187,556.67,1.884,0,none,0
95,Plant_B,L2,M14,day,5.92,B039,22.38,43.1,0.865,5.445,15.49,354.2,9.79,1.14,533.56,1.869,0,none,0
96,Plant_C,L3,M02,evening,0.0,B032,20.25,64.1,0.643,4.635,12.43,315.9,7.35,1.214,514.83,2.426,0,none,0
97,Plant_C,L3,M20,evening,1.66,B091,21.01,52.4,0.608,5.674,19.62,385.0,7.56,1.306,548.93,1.954,0,none,0
98,Plant_A,L3,M08,evening,9.63,B085,24.6,36.2,0.834,4.943,26.21,363.3,7.1,1.386,536.96,1.267,0,none,0
99,Plant_B,L1,M19,evening,6.53,B131,22.6,43.8,1.275,3.992,17.55,374.3,8.22,1.237,599.48,2.168,0,none,0
100,Plant_B,L3,M01,evening,7.1,B079,23.49,45.8,1.157,5.059,20.22,310.5,8.99,1.205,558.0,2.525,0,none,0
101,Plant_A,L4,M02,day,2.23,B109,21.95,42.4,0.888,4.647,23.56,337.8,8.98,1.315,531.85,2.085,0,none,0
102,Plant_A,L3,M17,night,14.27,B029,21.1,36.2,0.968,5.18,22.64,311.4,9.14,1.325,569.6,1.971,0,none,0
103,Plant_B,L1,M13,night,0.0,B038,13.95,46.2,0.961,5.385,17.56,297.9,11.55,1.147,515.89,1.776,0,none,0
104,Plant_C,L3,M13,night,9.29,B012,22.36,64.3,1.337,5.242,32.23,369.5,5.43,1.275,558.47,3.121,0,none,0
105,Plant_A,L2,M14,evening,12.3,B021,20.17,58.6,0.85,4.988,26.06,318.7,7.4,1.086,567.14,2.078,0,none,0
106,Plant_B,L4,M19,day,6.01,B134,21.17,53.8,0.876,5.393,18.26,285.6,6.66,1.329,525.68,2.157,0,none,0
107,Plant_A,L2,M19,day,5.49,B085,26.64,45.2,0.917,4.976,23.81,332.3,8.3,1.131,587.03,2.282,0,none,0
108,Plant_A,L1,M10,night,5.6,B114,25.99,61.3,0.739,5.539,28.69,398.6,9.19,1.437,598.95,2.117,0,none,0
109,Plant_A,L3,M14,evening,0.83,B107,26.69,56.1,1.046,5.306,21.8,323.6,8.68,1.283,448.9,2.066,0,none,0
110,Plant_A,L2,M19,day,6.77,B056,20.59,58.3,1.556,5.729,22.84,383.8,8.37,1.203,557.78,3.074,0,none,0
111,Plant_B,L1,M02,day,5.42,B035,24.5,41.1,1.011,6.034,18.35,360.4,8.11,1.305,564.8,2.533,0,none,0
112,Plant_A,L2,M19,day,6.87,B120,21.36,64.0,0.533,4.704,29.31,373.7,8.19,1.22,538.83,2.035,0,none,0
113,Plant_B,L3,M11,day,7.21,B129,23.59,45.3,0.42,6.213,21.36,306.7,8.22,1.191,534.33,1.608,0,none,0
114,Plant_C,L4,M12,day,4.82,B050,30.89,54.7,1.315,4.308,20.97,433.0,7.73,1.186,581.73,2.772,0,none,0
115,Plant_A,L2,M19,day,8.84,B022,21.93,46.6,0.558,5.558,25.52,368.1,8.07,1.178,570.92,2.035,0,none,0
116,Plant_B,L3,M02,day,2.13,B106,14.72,55.1,0.997,5.405,25.39,370.9,8.19,1.174,557.4,2.162,0,none,0
117,Plant_C,L4,M20,evening,9.28,B132,12.35,56.4,0.55,5.827,18.61,341.5,8.79,1.197,580.58,2.38,0,none,0
118,Plant_C,L1,M17,evening,5.25,B004,17.19,77.5,0.593,5.422,20.35,317.6,10.34,1.123,491.17,2.031,0,none,0
119,Plant_A,L4,M16,night,6.89,B144,20.85,61.9,1.221,5.289,25.81,348.5,9.8,1.182,551.15,2.364,0,none,0
120,Plant_B,L3,M02,evening,6.0,B132,19.83,76.8,0.826,6.042,27.28,329.1,6.93,1.394,530.74,2.287,0,none,0
121,Plant_B,L4,M20,evening,5.91,B010,24.47,42.5,1.922,5.486,25.77,321.6,6.36,1.123,584.03,3.374,0,none,0
122,Plant_A,L1,M14,day,9.53,B107,28.11,43.7,0.788,5.307,20.25,385.7,7.98,1.258,640.55,1.695,0,none,0
123,Plant_A,L4,M17,day,6.99,B139,23.38,33.7,0.799,5.73,29.89,420.8,7.72,1.133,624.58,1.868,0,none,0
124,Plant_A,L4,M10,evening,5.57,B142,21.62,34.9,0.432,4.458,20.63,376.0,8.07,1.144,594.4,1.926,0,none,0
125,Plant_A,L3,M03,day,3.71,B008,17.42,39.7,0.572,5.017,22.09,317.9,8.13,1.134,540.46,1.466,0,none,0
126,Plant_C,L1,M03,day,4.67,B135,15.88,50.3,0.528,4.608,24.96,315.6,9.56,1.158,498.91,1.464,0,none,0
127,Plant_C,L3,M03,day,2.55,B083,19.39,68.5,0.824,5.84,29.71,333.0,10.66,1.178,497.21,2.294,0,none,0
128,Plant_C,L4,M07,day,7.51,B034,23.3,59.1,1.581,5.128,25.71,423.9,8.09,1.235,598.6,2.883,0,none,0
129,Plant_C,L3,M02,day,10.4,B097,22.13,46.8,1.043,5.226,30.79,418.2,8.16,1.247,619.98,2.096,1,warp,1
130,Plant_C,L3,M12,evening,10.53,B032,25.38,60.9,0.656,5.387,21.52,371.9,9.62,1.212,580.18,1.857,0,none,0
131,Plant_A,L1,M14,day,6.69,B116,21.82,35.9,0.667,5.728,18.64,316.8,7.02,1.198,566.2,2.353,0,none,0
132,Plant_B,L4,M07,night,8.01,B104,18.93,55.9,1.082,5.738,19.25,427.6,9.54,1.214,581.13,2.092,0,none,0
133,Plant_A,L1,M13,evening,11.39,B112,20.98,82.4,1.404,4.866,20.66,341.1,5.63,1.141,569.87,3.23,0,none,0
134,Plant_A,L3,M01,day,4.93,B019,21.89,55.6,1.688,5.532,31.23,343.5,10.98,1.249,541.61,2.212,0,none,0
135,Plant_A,L2,M09,night,10.46,B135,24.68,47.6,0.727,4.933,19.59,302.1,9.97,1.101,560.21,1.948,0,none,0
136,Plant_C,L3,M09,day,0.0,B136,24.23,64.1,1.06,5.099,24.97,372.1,7.67,1.179,554.05,2.419,0,none,0
137,Plant_B,L3,M10,day,3.85,B008,20.27,58.2,0.666,4.9,23.03,329.0,9.87,1.289,539.41,1.688,0,none,0
138,Plant_B,L3,M12,day,0.0,B028,18.33,46.8,0.475,5.394,16.66,279.3,10.04,1.129,484.33,1.411,0,none,0
139,Plant_C,L3,M09,night,6.08,B053,22.41,51.1,1.207,5.273,11.33,322.4,8.3,1.22,519.3,1.67,0,none,0
140,Plant_A,L2,M08,evening,7.95,B074,22.26,55.2,0.528,6.119,16.38,359.1,6.81,1.182,590.62,2.211,0,none,0
141,Plant_C,L4,M19,day,4.7,B144,15.85,73.5,0.654,5.257,18.98,344.8,7.92,1.14,574.94,2.349,0,none,0
142,Plant_B,L3,M14,day,8.81,B142,19.89,49.4,0.772,5.07,22.94,378.7,7.78,1.216,591.12,1.975,0,none,0
143,Plant_A,L1,M13,day,0.0,B063,26.53,56.0,0.952,5.052,24.39,316.7,8.33,1.204,471.37,2.229,0,none,0
144,Plant_C,L2,M18,day,1.35,B083,19.1,40.3,1.136,5.347,28.56,365.0,8.96,1.289,504.72,2.066,0,none,0
145,Plant_A,L4,M17,day,1.71,B024,27.75,52.8,1.158,4.386,30.33,325.2,8.35,1.238,497.51,2.166,0,none,0
146,Plant_C,L3,M05,day,3.52,B089,19.68,64.6,1.07,5.757,18.58,323.3,10.08,1.134,560.67,2.331,0,none,0
147,Plant_A,L4,M16,day,5.45,B084,23.21,68.5,0.499,4.644,29.86,379.1,6.44,1.171,551.85,2.818,0,none,0
148,Plant_B,L1,M05,day,6.3,B142,15.66,51.8,0.655,5.729,24.13,278.3,8.09,1.355,565.17,2.483,0,none,0
149,Plant_B,L4,M16,evening,7.36,B102,20.91,23.3,0.614,5.905,19.33,319.9,7.34,1.221,539.55,1.346,0,none,0
150,Plant_A,L2,M07,night,4.0,B073,22.83,17.1,0.729,5.391,23.72,381.2,6.74,1.205,591.16,1.609,0,none,0
151,Plant_B,L3,M16,night,5.84,B063,27.64,46.1,0.951,5.813,20.92,390.2,9.22,1.192,582.07,1.969,0,none,0
152,Plant_C,L3,M04,evening,2.73,B096,15.12,49.5,0.554,5.682,25.27,430.8,7.2,1.239,543.58,2.357,0,none,0
153,Plant_A,L1,M19,day,0.1,B146,25.64,58.0,0.507,4.232,17.76,336.7,9.65,1.22,538.52,1.84,0,none,0
154,Plant_A,L1,M18,evening,5.75,B117,18.36,57.0,0.783,4.641,29.27,394.5,10.94,1.326,580.04,1.809,0,none,0
155,Plant_B,L4,M10,evening,5.22,B001,18.55,43.0,0.625,4.804,27.92,380.9,7.42,1.16,550.04,2.322,0,none,0
156,Plant_A,L4,M02,day,6.03,B114,23.39,31.8,0.61,4.857,20.52,328.2,10.5,1.26,557.11,1.976,0,none,0
157,Plant_B,L3,M02,evening,10.58,B114,34.81,26.4,0.89,4.913,18.51,387.9,6.93,1.285,663.68,2.047,0,none,0
158,Plant_B,L3,M15,evening,0.0,B061,25.41,61.1,0.612,5.287,25.44,303.3,8.66,1.092,462.08,1.945,0,none,0
159,Plant_A,L1,M04,day,2.34,B148,26.47,52.3,0.712,4.657,17.74,392.6,9.0,1.145,567.77,1.447,0,none,0
160,Plant_C,L2,M18,day,2.03,B054,24.47,51.8,1.025,4.43,26.32,297.7,8.66,1.244,514.35,2.187,0,none,0
161,Plant_B,L2,M15,evening,0.77,B141,19.55,48.4,0.959,5.352,22.76,355.7,9.36,1.166,520.38,2.216,0,none,0
162,Plant_A,L4,M13,day,0.0,B045,24.09,49.9,0.94,4.805,20.51,390.8,8.69,1.299,523.63,2.308,0,none,0
163,Plant_A,L1,M19,evening,9.44,B051,30.94,37.3,0.901,5.429,15.62,364.0,9.51,1.122,603.65,2.041,0,none,0
164,Plant_A,L2,M15,evening,7.89,B129,23.31,59.5,0.835,4.34,18.1,323.3,5.42,1.148,548.47,2.501,0,none,0
165,Plant_B,L1,M09,day,1.35,B006,19.78,33.8,0.931,6.07,19.38,359.4,6.98,1.134,539.89,2.138,0,none,0
166,Plant_C,L2,M07,day,0.99,B034,23.41,47.9,1.541,4.279,26.5,366.2,7.96,1.226,538.74,2.897,0,none,0
167,Plant_A,L2,M06,night,0.33,B047,21.05,59.6,1.545,5.046,27.63,331.2,6.91,1.324,472.89,2.579,0,none,0
168,Plant_B,L4,M12,day,1.9,B023,24.22,65.6,1.234,4.78,22.74,432.3,8.12,1.284,588.84,2.178,0,none,0
169,Plant_A,L1,M11,day,6.66,B062,23.61,69.4,1.074,5.347,22.65,348.5,7.74,1.343,513.1,2.255,0,none,0
170,Plant_B,L2,M09,evening,7.44,B150,19.52,44.4,0.848,5.137,24.7,356.1,7.72,1.132,566.27,2.266,0,none,0
171,Plant_A,L1,M10,day,3.72,B135,29.97,72.6,0.637,4.196,25.09,289.0,6.99,1.178,486.32,1.764,0,none,0
172,Plant_B,L3,M08,day,10.05,B092,23.31,66.1,2.495,5.157,22.09,392.3,9.4,1.269,582.63,3.224,0,none,0
173,Plant_A,L3,M13,day,2.32,B089,19.04,40.9,0.909,6.478,19.98,413.4,9.77,1.217,569.2,2.126,0,none,0
174,Plant_C,L1,M04,day,10.26,B078,19.23,70.0,1.341,5.277,18.36,338.8,8.43,1.248,551.84,2.966,0,none,0
175,Plant_B,L4,M07,day,1.63,B074,17.16,46.1,1.14,4.837,29.28,380.9,7.69,1.232,512.34,2.644,0,none,0
176,Plant_C,L3,M06,night,7.42,B143,12.26,32.7,1.223,5.09,25.87,385.9,8.3,1.261,566.98,2.403,0,none,0
177,Plant_B,L1,M18,evening,4.12,B092,19.5,62.5,1.323,5.524,20.41,367.7,9.9,1.265,530.92,2.341,0,none,0
178,Plant_A,L2,M05,evening,9.62,B025,26.31,44.1,0.63,6.457,17.19,376.7,9.46,1.271,611.96,2.393,0,none,0
179,Plant_B,L3,M07,evening,2.47,B011,26.6,24.3,0.896,5.509,28.37,316.6,8.04,1.094,521.44,2.127,0,none,0
180,Plant_B,L4,M02,day,2.02,B145,21.64,36.9,1.225,4.756,26.02,348.0,9.64,1.113,532.74,2.365,0,none,0
181,Plant_A,L3,M12,day,14.72,B115,23.07,44.3,0.644,4.809,29.75,374.9,8.76,1.197,620.47,1.964,0,none,0
182,Plant_A,L1,M08,evening,2.83,B001,24.46,45.0,1.218,5.014,21.45,320.9,8.5,1.249,547.51,1.901,0,none,0
183,Plant_A,L3,M05,day,0.0,B107,21.12,45.6,0.768,6.201,25.32,375.0,9.29,1.269,522.06,2.306,0,none,0
184,Plant_B,L2,M16,day,8.79,B126,21.76,47.1,0.936,5.238,28.0,316.1,10.11,1.194,559.03,1.879,0,none,0
185,Plant_C,L1,M02,evening,8.72,B052,25.24,80.1,0.821,5.426,25.92,402.1,5.34,1.222,596.79,1.697,0,none,0
186,Plant_A,L1,M09,day,8.29,B093,21.39,40.0,0.705,5.826,15.22,310.4,6.07,1.185,613.62,1.218,0,none,0
187,Plant_B,L1,M13,evening,1.07,B091,13.08,35.9,0.371,5.691,21.73,356.7,6.99,1.186,525.43,2.049,0,none,0
188,Plant_B,L3,M05,day,4.55,B132,27.94,45.9,0.679,5.194,23.58,414.6,8.73,1.112,613.04,2.088,0,none,0
189,Plant_C,L4,M14,evening,0.0,B012,15.38,52.8,1.484,5.378,22.53,387.2,7.58,1.278,557.31,2.138,0,none,0
190,Plant_C,L3,M20,evening,2.33,B012,18.22,28.1,1.079,4.348,23.21,345.7,7.63,1.315,548.13,2.262,0,none,0
191,Plant_B,L2,M12,evening,10.9,B055,22.35,39.0,1.305,5.153,19.17,364.2,4.84,1.188,625.2,2.334,0,none,0
192,Plant_A,L3,M03,night,6.47,B071,22.79,69.9,0.592,5.267,25.08,323.7,6.86,1.168,546.41,2.603,0,none,0
193,Plant_A,L3,M10,night,2.77,B081,20.32,34.6,0.769,6.096,25.82,323.8,8.17,1.263,521.41,1.662,0,none,0
194,Plant_B,L3,M15,evening,4.7,B010,29.51,42.0,0.627,4.982,23.39,298.4,7.91,1.242,528.37,1.832,0,none,0
195,Plant_B,L3,M10,night,13.72,B015,17.2,30.7,1.216,5.095,22.68,385.2,7.96,1.323,621.22,2.267,0,none,0
196,Plant_A,L1,M02,evening,8.52,B062,18.75,34.2,0.927,5.033,22.73,426.0,9.14,1.159,629.38,1.512,0,none,0
197,Plant_C,L2,M01,day,6.25,B053,16.58,67.1,0.862,4.428,17.19,379.2,7.75,1.314,555.73,2.355,0,none,0
